,DAY,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
0,1-Jul,98,86,91,84,89,84,90,73,82,91
1,2-Jul,97,90,88,82,91,87,90,81,81,89
2,3-Jul,97,93,91,87,93,87,87,87,86,86
3,4-Jul,90,91,91,88,95,84,89,86,88,86
4,5-Jul,89,84,91,90,96,86,93,80,90,89
5,6-Jul,93,84,89,91,96,87,93,84,90,82
6,7-Jul,93,75,93,82,96,87,89,87,89,76
7,8-Jul,91,87,95,86,91,89,89,90,87,88
8,9-Jul,93,84,95,87,96,91,90,89,88,89
9,10-Jul,93,87,91,87,99,87,91,84,89,78
10,11-Jul,90,84,91,82,96,90,84,84,90,83
11,12-Jul,91,88,86,77,93,90,77,86,89,86
12,13-Jul,93,86,88,73,91,86,82,87,91,84
13,14-Jul,93,90,87,81,93,82,88,84,91,87
14,15-Jul,82,91,91,81,93,82,91,86,84,84
15,16-Jul,91,91,87,86,93,84,93,88,84,85
16,17-Jul,96,89,90,82,91,87,93,88,84,89
17,18-Jul,95,89,91,87,97,88,93,88,87,90
18,19-Jul,96,89,95,88,100,90,93,88,84,89
19,20-Jul,99,90,91,90,99,87,91,88,88,89
20,21-Jul,91,89,91,90,93,84,95,89,89,90
21,22-Jul,95,84,89,91,96,87,91,86,89,91
22,23-Jul,91,87,91,93,87,90,89,81,93,91
23,24-Jul,93,88,91,93,82,84,87,82,95,90
24,25-Jul,84,89,86,91,75,82,84,84,89,92
25,26-Jul,84,89,88,93,82,88,86,87,87,94
26,27-Jul,82,91,80,93,88,90,89,87,84,92
27,28-Jul,79,91,88,93,91,84,91,89,89,90
28,29-Jul,90,89,89,93,89,89,91,88,87,83
29,30-Jul,91,88,90,97,87,89,88,84,89,78
30,31-Jul,87,72,86,99,86,87,90,88,90,84
31,1-Aug,86,80,86,96,86,84,93,84,91,82
32,2-Aug,90,84,82,93,81,84,91,84,90,86
33,3-Aug,84,88,84,88,84,84,91,84,91,88
34,4-Aug,91,89,86,89,88,86,91,82,91,91
35,5-Aug,93,88,90,91,91,88,93,84,90,88
36,6-Aug,88,84,89,93,91,84,97,82,84,86
37,7-Aug,91,84,89,93,91,86,87,84,81,80
38,8-Aug,84,80,86,93,91,88,87,84,82,82
39,9-Aug,90,73,82,91,96,87,86,86,84,85
40,10-Aug,89,80,87,90,95,88,88,87,75,83
41,11-Aug,88,86,88,96,89,86,89,84,82,87
42,12-Aug,86,88,84,98,89,86,91,81,80,88
43,13-Aug,84,88,86,97,89,81,91,87,77,86
44,14-Aug,86,87,80,98,89,87,89,89,82,90
45,15-Aug,89,88,82,93,94,84,88,90,82,92
46,16-Aug,90,91,86,93,97,90,90,86,84,89
47,17-Aug,91,91,84,96,99,91,91,89,86,90
48,18-Aug,91,89,87,98,101,91,93,90,86,90
49,19-Aug,90,89,90,98,101,87,91,90,89,89
50,20-Aug,89,88,79,89,97,86,93,87,88,92
51,21-Aug,90,82,84,91,87,88,93,88,82,94
52,22-Aug,91,79,87,91,86,90,91,88,84,93
53,23-Aug,91,81,87,90,88,88,95,90,84,87
54,24-Aug,91,82,88,80,92,93,93,89,87,85
55,25-Aug,84,84,90,82,92,90,91,88,82,84
56,26-Aug,88,87,91,89,90,91,88,89,86,84
57,27-Aug,84,90,89,88,90,91,84,90,88,86
58,28-Aug,86,90,90,90,92,81,82,91,90,86
59,29-Aug,88,91,93,91,92,86,82,89,87,85
60,30-Aug,84,91,93,91,88,81,78,88,88,85
61,31-Aug,82,88,91,84,87,82,77,89,87,85
62,1-Sep,80,88,87,88,79,80,84,88,82,85
63,2-Sep,73,91,84,91,81,75,84,86,80,88
